Alces alces
Cistothorus palustris
Cistothorus platensis
Thryomanes bewickii
Thryothorus ludovicianus
Troglodytes aedon
Troglodytes troglodytes
Catharus bicknelli
Catharus fuscescens
Catharus guttatus
Catharus minimus
Catharus ustulatus
Hylocichla mustelina
Ixoreus naevius
Myadestes townsendi
Sialia sialis
Turdus migratorius
Contopus cooperi
Contopus virens
Empidonax alnorum
Empidonax flaviventris
Empidonax minimus
Empidonax traillii
Myiarchus cinerascens
Myiarchus crinitus
Pyrocephalus rubinus
Sayornis phoebe
Sayornis saya
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Vireo flavifrons
Vireo gilvus
Vireo griseus
Vireo olivaceus
Vireo philadelphicus
Vireo solitarius
Ardea alba
Ardea herodias
Botaurus lentiginosus
Bubulcus ibis
Butorides virescens
Egretta caerulea
Egretta thula
Egretta tricolor
Ixobrychus exilis
Nyctanassa violacea
Nycticorax nycticorax
Nycticorax violaceus
Pelecanus erythrorhynchos
Pelecanus occidentalis
Plegadis falcinellus
Colaptes auratus
Dryocopus pileatus
Melanerpes carolinus
Melanerpes erythrocephalus
Picoides arcticus
Picoides pubescens
Picoides tridactylus
Picoides villosus
Sphyrapicus varius
Podiceps auritus
Podiceps grisegena
Podiceps nigricollis
Podilymbus podiceps
Diomedea chlororhynchos
Oceanites oceanicus
Oceanodroma leucorhoa
Calonectris diomedea
Fulmarus glacialis
Puffinus gravis
Puffinus griseus
Puffinus puffinus
Aegolius acadicus
Aegolius funereus
Asio flammeus
Asio otus
Bubo virginianus
Nyctea scandiaca
Otus asio
Strix nebulosa
Strix varia
Surnia ulula
Tyto alba
Fregata magnificens
Phalacrocorax auritus
Phalacrocorax carbo
Morus bassanus
Diadophis punctatus
Lampropeltis triangulum
Liochlorophis vernalis
Storeria occipitomaculata
Thamnophis sirtalis
Chelydra serpentina
Chrysemys picta
Clemmys insculpta
Emydoidea blandingii
Terrapene carolina
Sternotherus odoratus
Bufo americanus
Hyla versicolor
Pseudacris crucifer
Rana catesbeiana
Rana clamitans
Rana palustris
Rana pipiens
Rana sylvatica
Ambystoma laterale
Ambystoma maculatum
Desmognathus fuscus
Eurycea bislineata
Hemidactylium scutatum
Plethodon cinereus
Notophthalmus viridescens
Anguilla rostrata
Menidia menidia
Alosa pseudoharengus
Brevoortia tyrannus
Clupea harengus
Catostomus commersoni
Luxilus cornutus
Notemigonus crysoleucas
Phoxinus eos
Pimephales promelas
Semotilus atromaculatus
Semotilus corporalis
Fundulus diaphanus
Fundulus heteroclitus
Fundulus majalis
Esox niger
Pollachius virens
Apeltes quadracus
Gasterosteus aculeatus
Gasterosteus wheatlandi
Pungitius pungitius
Osmerus mordax
Lepomis auritus
Lepomis gibbosus
Micropterus dolomieu
