Alces alces
Calamospiza melanocorys
Chondestes grammacus
Junco hyemalis
Melospiza georgiana
Melospiza lincolnii
Melospiza melodia
Passerculus sandwichensis
Passerella iliaca
Pipilo chlorurus
Pipilo erythrophthalmus
Pipilo maculatus
Pooecetes gramineus
Spizella arborea
Spizella pallida
Spizella passerina
Spizella pusilla
Zonotrichia albicollis
Zonotrichia atricapilla
Zonotrichia leucophrys
Zonotrichia querula
Carduelis flammea
Carduelis hornemanni
Carduelis pinus
Carduelis tristis
Carpodacus mexicanus
Carpodacus purpureus
Coccothraustes vespertinus
Loxia curvirostra
Loxia leucoptera
Pinicola enucleator
Hirundo rustica
Petrochelidon pyrrhonota
Progne subis
Riparia riparia
Stelgidopteryx serripennis
Tachycineta bicolor
Agelaius phoeniceus
Dolichonyx oryzivorus
Euphagus carolinus
Euphagus cyanocephalus
Icterus bullockii
Icterus galbula
Icterus spurius
Molothrus ater
Quiscalus quiscula
Sturnella magna
Xanthocephalus xanthocephalus
Lanius excubitor
Lanius ludovicianus
Dumetella carolinensis
Mimus polyglottos
Toxostoma rufum
Anthus rubescens
Oenanthe oenanthe
Baeolophus bicolor
Poecile atricapillus
Poecile hudsonicus
Dendroica caerulescens
Dendroica castanea
Dendroica cerulea
Dendroica coronata
Dendroica discolor
Dendroica dominica
Dendroica fusca
Dendroica magnolia
Dendroica palmarum
Dendroica pensylvanica
Dendroica petechia
Dendroica pinus
Dendroica striata
Dendroica tigrina
Dendroica townsendi
Dendroica virens
Geothlypis trichas
Helmitheros vermivorus
Icteria virens
Mniotilta varia
Oporornis agilis
Oporornis formosus
Oporornis philadelphia
Parula americana
Protonotaria citrea
Seiurus aurocapillus
Seiurus motacilla
Seiurus noveboracensis
Setophaga ruticilla
Vermivora celata
Vermivora chrysoptera
Vermivora peregrina
Vermivora pinus
Vermivora ruficapilla
Wilsonia canadensis
Wilsonia citrina
Wilsonia pusilla
Passer domesticus
Polioptila caerulea
Regulus calendula
Regulus satrapa
Sitta canadensis
Sitta carolinensis
Sturnus vulgaris
Cistothorus palustris
Cistothorus platensis
Thryomanes bewickii
Thryothorus ludovicianus
Troglodytes aedon
Troglodytes troglodytes
Catharus bicknelli
Catharus fuscescens
Catharus guttatus
Catharus minimus
Catharus ustulatus
Hylocichla mustelina
Ixoreus naevius
Myadestes townsendi
Sialia sialis
Turdus migratorius
Contopus cooperi
Contopus virens
Empidonax alnorum
Empidonax flaviventris
Empidonax minimus
Empidonax traillii
Myiarchus cinerascens
Myiarchus crinitus
Pyrocephalus rubinus
Sayornis phoebe
Sayornis saya
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Vireo flavifrons
Vireo gilvus
Vireo griseus
Vireo olivaceus
Vireo philadelphicus
Vireo solitarius
Ardea alba
Ardea herodias
Botaurus lentiginosus
Bubulcus ibis
Butorides virescens
Egretta caerulea
Egretta thula
Egretta tricolor
Ixobrychus exilis
Nyctanassa violacea
Nycticorax nycticorax
Nycticorax violaceus
Pelecanus erythrorhynchos
Pelecanus occidentalis
Plegadis falcinellus
Colaptes auratus
Dryocopus pileatus
Melanerpes carolinus
Melanerpes erythrocephalus
Picoides arcticus
Picoides pubescens
Picoides tridactylus
Picoides villosus
Sphyrapicus varius
Podiceps auritus
Podiceps grisegena
Podiceps nigricollis
Podilymbus podiceps
Diomedea chlororhynchos
Oceanites oceanicus
Oceanodroma leucorhoa
Calonectris diomedea
Fulmarus glacialis
Puffinus gravis
Puffinus griseus
Puffinus puffinus
Aegolius acadicus
Aegolius funereus
Asio flammeus
Asio otus
Bubo virginianus
Nyctea scandiaca
Otus asio
Strix nebulosa
Strix varia
Surnia ulula
Tyto alba
Fregata magnificens
Phalacrocorax auritus
Phalacrocorax carbo
Morus bassanus
Diadophis punctatus
Lampropeltis triangulum
Liochlorophis vernalis
Storeria occipitomaculata
Thamnophis sirtalis
Chelydra serpentina
Chrysemys picta
Clemmys insculpta
Emydoidea blandingii
Terrapene carolina
Sternotherus odoratus
Bufo americanus
Hyla versicolor
Pseudacris crucifer
Rana catesbeiana
Rana clamitans
Rana palustris
Rana pipiens
Rana sylvatica
Ambystoma laterale
Ambystoma maculatum
Desmognathus fuscus
Eurycea bislineata
Hemidactylium scutatum
Plethodon cinereus
Notophthalmus viridescens
Anguilla rostrata
Menidia menidia
Alosa pseudoharengus
Brevoortia tyrannus
Clupea harengus
Catostomus commersoni
Luxilus cornutus
Notemigonus crysoleucas
Phoxinus eos
Pimephales promelas
Semotilus atromaculatus
Semotilus corporalis
Fundulus diaphanus
Fundulus heteroclitus
Fundulus majalis
Esox niger
Pollachius virens
Apeltes quadracus
Gasterosteus aculeatus
Gasterosteus wheatlandi
Pungitius pungitius
Osmerus mordax
Lepomis auritus
Lepomis gibbosus
Micropterus dolomieu
Micropterus salmoides
Tautogolabrus adspersus
Morone americana
Perca flavescens
Limanda ferruginea
Coregonus clupeaformis
Oncorhynchus mykiss
Salmo salar
Salmo trutta
Salvelinus alpinus
Salvelinus fontinalis
Salvelinus namaycush
Ameiurus nebulosus
Dryopteris cristata x intermedia
Drypoteris cristata x marginalis
Glyceria x laxa
Hypericum x dissimulatum
Panicum acuminatum ssp. fasciculatum
Panicum acuminatum ssp. implicatum
Panicum acuminatum ssp. lindheimeri
Panicum acuminatum ssp. spretum
Photinia X floribunda
Polypodium x triploidea
Rubus allegheniensis x setosus
Rubus recurvicaulis X setosus
Salix humilis X discolor
Schoenoplectus acutus x tabernaemontanii
Acorus americanus
Alisma triviale
Sagittaria graminea
Sagittaria latifolia
Arisaema triphyllum
Calla palustris
Lemna trisulca
Symplocarpus foetidus
Najas flexilis
Najas gracillima
Vallisneria americana
Triglochin maritimum
Triglochin palustre
Potamogeton amplifolius
Potamogeton bicupulatus
Potamogeton confervoides
Potamogeton epihydrus
Potamogeton gramineus
Potamogeton natans
Potamogeton oakesianus
Potamogeton perfoliatus
Potamogeton pusillus var. gemmiparus
Potamogeton pusillus var. tenuissimus
Potamogeton spirillus
Potamogeton zosteriformis
Stuckenia pectinatus
Zannichellia palustris
Ruppia maritima
Scheuchzeria palustris ssp. americana
Zostera marina var. stenophylla
Aegopodium podagraria
Angelica atropurpurea
Angelica lucida
Carum carvi
Cicuta bulbifera
Cicuta maculata
Conioselinum chinense
Daucus carota
Heracleum mantegazzianum
Heracleum maximum
Ligusticum scothicum
Osmorhiza longistylis
Pastinaca sativa
Pimpinella saxifraga
Sanicula marilandica
Sium suave
Zizia aurea
Aralia hispida
Aralia nudicaulis
Aralia racemosa
Aralia spinosa
Hydrocotyle americana
Ilex glabra
Ilex verticillata
Nemopanthus mucronatus
Allium schoenoprasum var. sibiricum
Asparagus officinalis
Maianthemum canadense
Maianthemum racemosum
Maianthemum stellatum
Maianthemum trifolium
Polygonatum pubescens
Iris pseudacorus
Iris setosa var. canadensis
Iris versicolor
Sisyrinchium angustifolium
Sisyrinchium atlanticum
Sisyrinchium montanum var. crebrum
Sisyrinchium mucronatum
Arethusa bulbosa
Calopogon tuberosus
Coeloglossum viride var. virescens
Corallorrhiza maculata
Corallorrhiza trifida
Cypripedium acaule
Cypripedium parviflorum
Cypripedium pubescens
Cypripedium reginae
Epipactis helleborine
Goodyera pubescens
Goodyera repens
Goodyera tesselata
Liparis loeselii
Listera auriculata
Listera convallarioides
Listera cordata
Malaxis unifolia
Platanthera clavellata
Platanthera dilatata
Platanthera grandiflora
Platanthera hookeri
Platanthera hyperborea
Platanthera lacera
Platanthera obtusata
Platanthera orbiculata var. macrophylla
Platanthera orbiculata var. orbiculata
Platanthera psycodes
Pogonia ophioglossoides
Spiranthes cernua
Spiranthes lacera var. gracilis
Spiranthes ochroleuca
Spiranthes romanzoffiana
Hemerocallis fulva
Achillea millefolium var. millefolium
Achillea millefolium var. occidentalis
Achillea ptarmica
Ambrosia artemisiifolia
Ambrosia artemisiifolia var. elatior
Ambrosia trifida
Anaphalis margaritacea
Antennaria howellii ssp. canadensis
Antennaria howellii ssp. neodioica
Antennaria howellii ssp. petaloidea
Antennaria neglecta
Antennaria parlinii ssp. fallax
Antennaria parlinii ssp. parlinii
Antennaria plantaginifolia
Anthemis cotula
Anthemis tinctoria
Arctium lappa
Arctium minus
Arctium vulgare
Arnoseris minima
Artemisia stelleriana
Artemisia vulgaris
Aster macrophyllus
Aster radula
Bidens cernua
Bidens connata
Bidens frondosa
Bidens vulgata
Centaurea cyanus
Centaurea jacea
Centaurea nigra
Chrysanthemum balsamita
Cichorium intybus
Cirsium arvense
Cirsium discolor
Cirsium muticum
Cirsium vulgare
Conyza canadensis
Doellingeria umbellata
Echinops sphaerocephalus
Erechtites hieraciifolia
Erigeron annuus
Erigeron strigosus
Eupatorium maculatum
Eupatorium perfoliatum var. perfoliatum
Euthamia graminifolia
Euthamia graminifolia var. nuttallii
Galinsoga quadriradiata
Gnaphalium uliginosum
Helianthus annuus
Helianthus tuberosus
Helianthus X laetiflorus
Heliopsis helianthoides var. scabra
Hieracium aurantiacum
Hieracium caespitosum
Hieracium canadense
Hieracium kalmii
Hieracium lachenalii
Hieracium murorum
Hieracium paniculatum
Hieracium pilosella
Hieracium piloselloides
Hieracium scabrum
Hieracium scabrum var. tonsum
Hieracium X floribundum
Lactuca biennis
Lactuca canadensis
Lactuca canadensis var. latifolia
Lactuca canadensis var. longifolia
Lactuca sativa
Lapsana communis
Leontodon autumnalis
Leontodon autumnalis var. pratensis
Leucanthemum vulgare
Matricaria discoidea
Matricaria maritima
Matricaria perforata
Matricaria recutita
Mycelis muralis
Oclemena acuminata
Oclemena nemoralis
Oclemena X blakei
Petasites frigidus var. palmatus
Prenanthes alba
Prenanthes altissima
Prenanthes nana
Prenanthes trifoliolata
Pseudognaphalium helleri ssp. micradenium
Pseudognaphalium obtusifolium
Rudbeckia hirta var. hirta
Rudbeckia hirta var. pulcherrima
Senecio aureus
Senecio jacobaea
Senecio schweinitzianus
Senecio sylvaticus
Senecio vulgaris
Solidago bicolor
Solidago canadensis
Solidago flexicaulis
Solidago gigantea
Solidago hispida
Solidago juncea
Solidago nemoralis
Solidago puberula
Solidago rugosa
Solidago rugosa var. villosa
Solidago sempervirens
Solidago simplex ssp. randii
Solidago squarrosa
Solidago uliginosa
Sonchus arvensis
Sonchus asper
Sonchus oleraceus
Symphyotrichum ciliolatum
Symphyotrichum cordifolium
Symphyotrichum ericoides
Symphyotrichum lanceolatum
Symphyotrichum lateriflorum
Symphyotrichum lateriflorum var. hirsuticaule
Symphyotrichum novae-angliae
Symphyotrichum novi-belgii var. novi-belgii
Symphyotrichum novi-belgii var. villicaule
Symphyotrichum pilosum
Symphyotrichum praealtum var. angustior
Symphyotrichum puniceum
Symphyotrichum racemosum
Symphyotrichum tradescantii
Symphyotrichum undulatum
Tanacetum vulgare
Taraxacum laevigatum
Taraxacum officinale ssp. officinale
Tragopogon porrifolius
Tragopogon pratensis
Tussilago farfara
Campanula aparinoides
Campanula rapunculoides
Campanula rotundifolia
Lobelia cardinalis
Lobelia dortmanna
Lobelia inflata
Lobelia spicata
Triodanis perfoliata
Menyanthes trifoliata
Nymphoides cordata
Anchusa arvensis
Anchusa officinalis
Borago officinalis
Lappula squarrosa
Mertensia maritima
Myosotis arvensis
Myosotis discolor
Myosotis laxa
Myosotis scorpioides
Myosotis sylvatica
Symphytum officinale
Alliaria petiolata
Alyssum alyssoides
Arabis drummondii
Arabis hirsuta var. pycnocarpa
Armoracia rusticana
Barbarea vulgaris
Berteroa incana
Brassica juncea
Brassica nigra
Brassica rapa
Cakile edentula
Camelina microcarpa
Camelina sativa
Capsella bursa-pastoris
Cardamine impatiens
Cardamine longii
Cardamine parviflora var. arenicola
Cardamine pensylvanica
Cardamine pratensis
Conringia orientalis
Draba verna
Erysimum cheiranthoides
Hesperis matronalis
Iberis umbellata
Lepidium campestre
Lepidium densiflorum
Lepidium virginicum
Raphanus raphanistrum
Raphanus sativus
Rorippa palustris ssp. fernaldiana
Rorippa sylvestris
Sinapis arvensis
Sisymbrium altissimum
Sisymbrium officinale
Subularia aquatica
Thlaspi arvense
Reseda alba
Reseda lutea
Amaranthus albus
Amaranthus hybridus
Amaranthus retroflexus
Atriplex acadiensis
Atriplex glabriuscula
Atriplex littoralis
Atriplex patula
Atriplex prostrata
Chenopodium album
Chenopodium glaucum
Chenopodium murale
Chenopodium simplex
Salicornia depressa
Salicornia maritima
Salsola kali
Suaeda calceoliformis
Suaeda linearis
Suaeda maritima ssp. maritima
Suaeda maritima ssp. richii
Agrostemma githago
Cerastium arvense
Cerastium fontanum ssp. vulgare
Cerastium tomentosum
Dianthus armeria
Dianthus deltoides
Dianthus plumarius
Honckenya peploides ssp. robusta
Minuartia glabra
Minuartia groenlandica
Moehringia lateriflora
Sagina nodosa ssp. borealis
Sagina nodosa ssp. nodosa
Sagina procumbens
Saponaria officinalis
Silene antirrhina
Silene armeria
Silene latifolia ssp. alba
Silene noctiflora
Silene nutans
Silene vulgaris
Spergula arvensis
Spergularia canadensis
Spergularia rubra
Spergularia salina
Stellaria alsine
Stellaria borealis
Stellaria calycantha
Stellaria graminea
Stellaria humifusa
Stellaria longifolia
Stellaria media
Vaccaria hispanica
Drosera intermedia
Drosera rotundifolia
Drosera rotundifolia var. comosa
Mollugo verticillata
Montia fontana
Limonium carolinianum
Fagopyrum esculentum
Fallopia cilinodis
Fallopia convolvulus
Fallopia japonica
Fallopia scandens
Persicaria amphibia var. stipulacea
Persicaria careyi
Persicaria hydropiper
Persicaria lapathifolia
Persicaria maculosa
Persicaria pensylvanica
Persicaria punctata
Persicaria sagittata
Polygonella articulata
Polygonum arenastrum
Polygonum aviculare
Polygonum buxiforme
Polygonum fowleri
Polygonum prolificum
Polygonum raii
Polygonum ramosissimum
Rumex acetosella
Rumex altissimus
Rumex crispus
Rumex longifolius
Rumex obtusifolius
Rumex orbiculatus
Rumex pallidus
Rumex patientia
Rumex salicifolius var. mexicanus
Rumex verticillatus
Portulaca oleracea
Celastrus orbiculata
Ceratophyllum echinatum
Pontederia cordata
Cornus alternifolia
Cornus canadensis
Cornus rugosa
Cornus sericea
Echinocystis lobata
Sambucus canadensis
Sambucus racemosa ssp. pubens
Viburnum acerifolium
Viburnum dentatum var. dentatum
Viburnum dentatum var. lucidum
Viburnum lantanoides
Viburnum nudum var. cassinoides
Viburnum opulus var. opulus
Lonicera canadensis
Lonicera japonica
Lonicera morrowii
Lonicera villosa
Lonicera villosa var. calvescens
Lonicera villosa var. solonis
Lonicera X bella
Lonicera xylosteum
Symphoricarpos albus
Diervilla lonicera
Linnaea borealis ssp. longiflora
Valeriana officinalis
Equisetum arvense
Equisetum fluviatile
Equisetum palustre
Equisetum sylvaticum
Actinidia arguta
Impatiens capensis
Impatiens glandulifera
Clethra alnifolia
Andromeda polifolia var. glaucophylla
Arctostaphylos uva-ursi
Calluna vulgaris
Chamaedaphne calyculata
Chimaphila umbellata ssp. cisatlantica
Corema conradii
Empetrum nigrum
Epigaea repens
Gaultheria hispidula
Gaultheria procumbens
Gaylussacia baccata
Gaylussacia dumosa var. bigeloviana
Kalmia angustifolia
Kalmia latifolia
Kalmia polifolia
Moneses uniflora
Monotropa hypopithys
Monotropa uniflora
Orthilia secunda
Pyrola americana
Pyrola chlorantha
Pyrola elliptica
Rhododendron canadense
Rhododendron groenlandicum
Rhododendron viscosum
Vaccinium angustifolium
Vaccinium boreale
Vaccinium cespitosum
Vaccinium corymbosum
Vaccinium macrocarpon
Vaccinium myrtilloides
Vaccinium oxycoccus
Vaccinium pallidum
Vaccinium uliginosum
Vaccinium vitis-idaea ssp. minus
Anagallis arvensis
Glaux maritima
Glaux maritima ssp. obtusifolia
Lysimachia ciliata
Lysimachia nummularia
Lysimachia quadrifolia
Lysimachia terrestris
Lysimachia thyrsiflora
Lysimachia vulgaris
Lysimachia X producta
Trientalis borealis
Sarracenia purpurea
Amphicarpaea bracteata
Apios americana
Coronilla varia
Desmodium glutinosum
Genista tinctoria
Lathyrus japonicus var. maritimus
Lathyrus japonicus var. pellitus
Lathyrus palustris
Lathyrus pratensis
Lotus corniculatus
Lupinus polyphyllus
Medicago lupulina
Medicago sativa
Melilotus officinalis
Robinia hispida
Robinia pseudo-acacia
Robinia viscosa
Thermopsis mollis
Trifolium arvense
Trifolium aureum
Trifolium campestre
Trifolium dubium
Trifolium hybridum
Trifolium pratense
Trifolium repens
Vicia cracca
Vicia hirsuta
Vicia sativa
Vicia sativa ssp. nigra
Vicia tetrasperma
Vicia villosa
Polygala paucifolia
Polygala sanguinea
Polygala verticillata
Alnus incana ssp. rugosa
Alnus viridis ssp. crispa
Betula alleghaniensis
Betula cordifolia
Betula papyrifera
Betula populifolia
Betula X caerulea
Corylus cornuta
Ostrya virginiana
Fagus grandifolia
Quercus ilicifolia
Quercus rubra
Comptonia peregrina
Myrica gale
Myrica pensylvanica
Apocynum androsaemifolium
Apocynum cannabinum
Asclepias incarnata var. pulchra
Asclepias syriaca
Bartonia paniculata ssp. iodandra
Bartonia virginica
Lomatogonium rotatum
Cephalanthus occidentalis
Galium aparine
Galium asprellum
Galium labradoricum
Galium mollugo
Galium palustre
Galium tinctorium
Galium trifidum
Galium triflorum
Galium verum
Houstonia caerulea
Mitchella repens
Geranium bicknellii
Geranium carolinianum
Geranium molle
Geranium robertianum
Isoetes acadiensis
Isoetes echinospora
Isoetes lacustris
Isoetes prototypus
Isoetes riparia
Isoetes tuckermanii
Isoetes X harveyi
Galeopsis bifida
Galeopsis tetrahit
Glechoma hederacea
Hedeoma pulegioides
Leonurus cardiaca
Lycopus americanus
Lycopus uniflorus
Lycopus virginicus
Mentha arvensis
Mentha canadensis
Mentha spicata
Mentha X piperita
Mentha X villosa
Nepeta cataria
Prunella vulgaris
Prunella vulgaris ssp. lanceolata
Satureja hortensis
Scutellaria galericulata
Scutellaria lateriflora
Stachys arvensis
Stachys palustris ssp. palustris
Teucrium canadense
Teucrium canadense var. occidentale
Thymus pulegioides
Utricularia cornuta
Utricularia geminiscapa
Utricularia gibba
Utricularia intermedia
Utricularia macrorhiza
Utricularia minor
Utricularia purpurea
Utricularia radiata
Utricularia resupinata
Lindernia dubia
Forsythia
Fraxinus americana
Fraxinus nigra
Fraxinus pennsylvanica
Ligustrum amurense
Ligustrum vulgare
Syringa vulgaris
Syringa X chinensis
Epifagus virginiana
Euphrasia nemorosa
Euphrasia randii
Euphrasia stricta
Melampyrum lineare
Odontites vernus ssp. serotinus
Orobanche uniflora
Pedicularis canadensis
Rhinanthus minor
Callitriche heterophylla
Callitriche palustris
Chelone glabra
Chelone lyonii
Digitalis purpurea
Hippuris vulgaris
Linaria dalmatica
Linaria maroccana
Linaria repens
Linaria vulgaris
Nuttallanthus canadensis
Penstemon digitalis
Plantago aristata
Plantago lanceolata
Plantago major
Plantago major var. intermedia
Plantago major var. pilgeri
Plantago maritima var. juncoides
Veronica arvensis
Veronica chamaedrys
Veronica longifolia
Veronica officinalis
Veronica peregrina
Veronica peregrina ssp. xalapensis
Veronica persica
Veronica scutellata
Veronica serpyllifolia
Veronicastrum virginicum
Scrophularia lanceolata
Verbascum blattaria
Verbascum phlomoides
Verbascum thapsus
Verbena hastata
Uvularia sessilifolia
Clintonia borealis
Erythronium americanum
Lilium canadense
Lilium lancifolium
Lilium philadelphicum
Medeola virginiana
Streptopus amplexifolius
Streptopus lanceolatus
Trillium cernuum
Trillium undulatum
Veratrum viride
Diphasiastrum complanatum
Diphasiastrum digitatum
Diphasiastrum tristachyum
Huperzia appalachiana
Huperzia lucidula
Huperzia selago
Lycopodiella appressa
Lycopodiella inundata
Lycopodium annotinum
Lycopodium clavatum
Lycopodium dendroideum
Lycopodium lagopus
Lycopodium lucidulum var. occidentale
Lycopodium obscurum
Elatine americana
Elatine minima
Chamaesyce maculata
Euphorbia cyparissias
Euphorbia peplus
Hypericum boreale
Hypericum canadense
Hypericum ellipticum
Hypericum gentianoides
Hypericum majus
Hypericum mutilum
Hypericum perforatum
Hypericum prolificum
Hypericum punctatum
Triadenum fraseri
Triadenum virginicum
Linum catharticum
Linum usitatissimum
Radiola linoides
Populus alba
Populus balsamifera
Populus grandidentata
Populus tremuloides
Populus X gileadensis
Salix alba var. vitellina
Salix bebbiana
Salix discolor
Salix eriocephala
Salix fragilis
Salix humilis
Salix humilis var. tristis
Salix lucida
Salix pentandra
Salix petiolaris
Salix purpurea
Salix pyrifolia
Salix sericea
Salix viminalis
Salix X rubens
Viola adunca
Viola blanda
Viola blanda var. palustriformis
Viola cucullata
Viola labradorica
Viola lanceolata
Viola macloskeyi ssp. pallens
Viola primulifolia
Viola renifolia
Viola sagittata var. ovata
Viola sororia
Viola tricolor
Hudsonia ericoides
Hudsonia tomentosa
Lechea intermedia
Lechea intermedia var. juniperina
Malva alcea
Malva moschata
Malva neglecta
Malva rotundifolia
Malva verticillata
Tilia cordata
Tilia platyphyllos
Decodon verticillatus
Lythrum salicaria
Rhexia virginica
Circaea alpina
Circaea lutetiana ssp. canadensis
Epilobium angustifolium
Epilobium ciliatum
Epilobium ciliatum ssp. glandulosum
Epilobium coloratum
Epilobium leptophyllum
Epilobium palustre
Epilobium strictum
Ludwigia palustris
Oenothera biennis
Oenothera fruticosa
Oenothera laciniata
Oenothera parviflora
Oenothera perennis
Oenothera pilosella
Brasenia schreberi
Nuphar advena
Nuphar variegata
Nymphaea odorata ssp. odorata
Nymphaea odorata ssp. tuberosa
Botrychium dissectum
Botrychium lanceolatum ssp. angustisegmentum
Botrychium lunaria
Botrychium matricariifolium
Botrychium multifidum
Botrychium simplex
Botrychium virginianum
Ophioglossum pusillum
Osmunda cinnamomea
Osmunda claytoniana
Osmunda regalis var. spectabilis
Oxalis montana
Oxalis stricta
Juniperus communis var. depressa
Juniperus horizontalis
Thuja occidentalis
Abies balsamea
Larix laricina
Picea abies
Picea glauca
Picea mariana
Picea rubens
Pinus banksiana
Pinus resinosa
Pinus rigida
Pinus strobus
Pinus sylvestris
Tsuga canadensis
Taxus canadensis
Aristolochia macrophylla
Bolboschoenus maritimus ssp. paludosus
Bulbostylis capillaris
Carex adusta
Carex albicans
Carex arctata
Carex argyrantha
Carex atlantica
Carex baileyi
Carex brunnescens ssp. brunnescens
Carex brunnescens ssp. sphaerostachya
Carex bushii
Carex buxbaumii
Carex canescens ssp. canescens
Carex canescens ssp. disjuncta
Carex communis
Carex conoidea
Carex crawfordii
Carex crinita var. crinita
Carex cumulata
Carex debilis var. rudgei
Carex deflexa
Carex deweyana
Carex disperma
Carex echinata ssp. echinata
Carex exilis
Carex flava
Carex foenea
Carex folliculata
Carex gracillima
Carex gynandra
Carex haydenii
Carex hormathodes
Carex houghtoniana
Carex hystericina
Carex intumescens
Carex lacustris
Carex laevivaginata
Carex lasiocarpa var. americana
Carex laxiflora
Carex lenticularis
Carex leptalea
Carex leptonervia
Carex limosa
Carex lucorum
Carex lupulina
Carex lurida
Carex mackenziei
Carex magellanica ssp. irrigua
Carex michauxiana
Carex nigra
Carex normalis
Carex novae-angliae
Carex oligosperma
Carex ormostachya
Carex paleacea
Carex pallescens
Carex panicea
Carex pauciflora
Carex projecta
Carex pseudocyperus
Carex radiata
Carex recta
Carex scabrata
Carex scoparia
Carex silicea
Carex stipata
Carex stricta
Carex tenera
Carex tonsa
Carex torta
Carex tribuloides
Carex trisperma
Carex trisperma var. billingsii
Carex umbellata
Carex utriculata
Carex vacillans
Carex vesicaria
Carex viridula
Carex vulpinoidea
Carex wiegandii
Cladium mariscoides
Dulichium arundinaceum
